contender, input_graph, iteration, num_vertices, num_edges, factory_time_ns, execution_time_ns, result_correct
jarnik_prim, GNM, 0, 32768, 131072, 20, 6682942, yes
jarnik_prim, GNM, 1, 32768, 131072, 20, 6662841, yes
jarnik_prim, GNM, 2, 32768, 131072, 20, 6675912, yes
jarnik_prim, GNM, 3, 32768, 131072, 20, 6648711, yes
fast_kruskal, GNM, 0, 32768, 262144, 20, 17805347, yes
fast_kruskal, GNM, 1, 32768, 262144, 20, 16233849, yes
fast_kruskal, GNM, 2, 32768, 262144, 20, 16228438, yes
fast_kruskal, GNM, 3, 32768, 262144, 20, 16347060, yes
i_max_filter, GNM, 0, 32768, 262144, 20, 9204653, yes
i_max_filter, GNM, 1, 32768, 262144, 20, 9231173, yes
i_max_filter, GNM, 2, 32768, 262144, 20, 9188792, yes
i_max_filter, GNM, 3, 32768, 262144, 10, 9298395, yes
parallel_i_max_filter, GNM, 0, 32768, 262144, 20, 9261763, yes
parallel_i_max_filter, GNM, 1, 32768, 262144, 20, 9351224, yes
parallel_i_max_filter, GNM, 2, 32768, 262144, 20, 9387874, yes
parallel_i_max_filter, GNM, 3, 32768, 262144, 20, 9208913, yes
jarnik_prim, GNM, 0, 32768, 262144, 20, 9427254, yes
jarnik_prim, GNM, 1, 32768, 262144, 20, 9500476, yes
jarnik_prim, GNM, 2, 32768, 262144, 10, 9239263, yes
jarnik_prim, GNM, 3, 32768, 262144, 20, 9300284, yes
fast_kruskal, GNM, 0, 32768, 524288, 30, 30925958, yes
fast_kruskal, GNM, 1, 32768, 524288, 20, 28861942, yes
fast_kruskal, GNM, 2, 32768, 524288, 10, 28740990, yes
fast_kruskal, GNM, 3, 32768, 524288, 10, 28839562, yes
i_max_filter, GNM, 0, 32768, 524288, 20, 17431053, yes
i_max_filter, GNM, 1, 32768, 524288, 20, 17359622, yes
i_max_filter, GNM, 2, 32768, 524288, 10, 17340661, yes
i_max_filter, GNM, 3, 32768, 524288, 20, 17526815, yes
parallel_i_max_filter, GNM, 0, 32768, 524288, 20, 16851506, yes
parallel_i_max_filter, GNM, 1, 32768, 524288, 20, 15850844, yes
parallel_i_max_filter, GNM, 2, 32768, 524288, 30, 15514719, yes
